Year-Month,Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,PartyInPower,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,AdvertisingExpenses (in Thousand Dollars),Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,source_file
2009 - Jan,14421.7528954451,14407.053343022,233.402,Democrats,7.8,12.03,11.44,22.05,137,57.7,4.02,9.296,7.559,799,12.589,4.17,11.55,macro_economic.xlsx
2009 - Feb,14389.2004660291,14366.1765714005,234.663,Democrats,8.3,12.97,11.05,22.22,200,55.21,-4.32,9.296,7.559,799,12.589,3.87,11.1,macro_economic.xlsx
2009 - Mar,14340.7016385792,14351.7868217385,235.067,Democrats,8.7,12.97,11.05,22.22,?,51.5,-6.72,9.296,7.559,799,12.589,3.72,11.65,macro_economic.xlsx
2009 - Apr,14326.8155253522,14351.6017305356,235.582,Democrats,9.0,12.97,11.05,22.13,214,56.78,10.25,9.296,7.559,787,12.4,3.62,12.225,macro_economic.xlsx
2009 - May,14345.9048088631,14368.1239591978,235.975,Democrats,9.4,13.32,11.25,22.04,?,61.95,9.11,9.297,7.4,803,12.384,3.52,12.3,macro_economic.xlsx
2009 - Jun,14348.5306658082,14346.8201055735,237.172,Democrats,9.5,13.32,11.25,21.96,?,61.39,-0.9,8.668,7.76,796,12.876,3.47,10.3,macro_economic.xlsx
2009 - Jul,14317.3729221509,14345.6760973542,237.6,Democrats,9.5,13.32,11.25,22.0,?,64.8,5.55,8.905,7.753,796,12.863,3.47,9.7,macro_economic.xlsx
2009 - Aug,14424.2849012372,14435.812508554,238.282,Democrats,9.6,13.71,10.89,22.16,?,64.26,-0.83,8.905,7.619,809,12.84,3.47,9.7,macro_economic.xlsx
2009 - Sep,14410.7771765398,14425.9727515716,238.568,Democrats,9.8,13.71,10.89,22.2,?,64.07,-0.3,8.989,7.582,827,13.071,3.47,10.0,macro_economic.xlsx
2009 - Oct,14596.6054472681,14595.3930938759,238.38,Democrats,10.0,13.71,10.89,22.27,?,66.82,4.29,8.989,7.586,799,12.631,3.37,10.0,macro_economic.xlsx
2009 - Nov,14590.4322515432,14559.4101732519,238.777,Democrats,9.9,13.6,11.2,22.44,?,71.78,7.42,8.989,7.586,767,12.129,3.37,9.95,macro_economic.xlsx
2009 - Dec,14512.4953011728,14471.040843924,238.427,Democrats,9.9,13.6,11.2,22.38,?,76.78,6.97,8.989,7.586,774,12.225,3.37,10.425,macro_economic.xlsx
2010 - Jan,14613.9914806524,14551.0248379337,238.97,Democrats,9.8,13.6,11.2,22.51,248,77.4,0.81,9.008,7.552,763,12.011,3.37,10.4,macro_economic.xlsx
2010 - Feb,14652.8802715638,14581.3756942286,238.862,Democrats,9.8,14.26,10.83,22.57,?,80.04,3.41,9.008,7.552,763,12.011,3.37,11.4,macro_economic.xlsx
2010 - Mar,14776.3172477831,14682.0107425024,240.101,Democrats,9.9,14.26,10.83,22.48,?,85.79,7.18,9.008,7.552,763,12.011,3.47,11.375,macro_economic.xlsx
2010 - Apr,14844.5311931878,14724.2001528266,240.529,Democrats,9.9,14.26,10.83,22.53,116,88.09,2.68,9.008,7.552,747,11.751,3.47,11.365,macro_economic.xlsx
2010 - May,14875.6984356304,14741.3673469787,241.075,Democrats,9.6,13.84,11.0,22.6,?,90.07,2.25,9.008,7.391,766,11.788,3.375,11.34,macro_economic.xlsx
2010 - Jun,14945.570371108,14772.3180512573,240.817,Democrats,9.4,13.84,11.0,22.34,?,91.68,1.79,10.315,9.642,806,16.2,3.275,13.05,macro_economic.xlsx
2010 - Jul,15019.2352626891,14833.7492771408,241.147,Democrats,9.4,13.84,11.0,22.41,?,84.15,-8.21,10.7,10.193,836,17.75,3.37,13.8,macro_economic.xlsx
2010 - Aug,15036.2776269679,14824.1657696352,241.569,Democrats,9.5,13.59,10.71,22.55,?,90.35,7.37,10.7,10.424,831,18.036,3.37,14.525,macro_economic.xlsx
2010 - Sep,15117.4671103891,14878.5469831135,241.485,Democrats,9.5,13.59,10.71,22.6,165,104.73,15.92,10.829,10.566,833,18.343,3.57,15.025,macro_economic.xlsx
2010 - Oct,15219.059036066,14945.4270878445,241.981,Democrats,9.4,13.59,10.71,22.7,?,126.55,20.83,10.829,10.566,835,18.375,3.57,15.025,macro_economic.xlsx
2010 - Nov,15185.62894712,14896.6748133866,241.96,Democrats,9.8,13.44,10.94,22.69,150,155.47,22.85,10.829,10.566,814,17.92,3.42,15.275,macro_economic.xlsx
2010 - Dec,15285.9360167865,14975.0402068452,241.874,Democrats,9.3,13.44,10.94,22.76,?,168.22,8.2,10.829,10.566,807,17.77,3.52,15.275,macro_economic.xlsx
2011 - Jan,15149.1361633756,14838.1555802799,242.639,Democrats,9.1,13.44,10.94,23.16,?,178.93,6.37,10.769,10.505,814,17.817,3.565,15.28,macro_economic.xlsx
2011 - Feb,15161.5783305761,14801.7341813383,243.832,Democrats,9.0,13.44,10.98,22.99,?,213.18,19.14,10.769,10.505,814,17.817,3.565,15.28,macro_economic.xlsx
2011 - Mar,15404.3985060739,15004.1154699802,245.617,Democrats,9.0,13.44,10.98,22.9,?,229.67,7.74,10.769,10.505,814,17.817,3.565,15.28,macro_economic.xlsx
2011 - Apr,15488.0048636643,15050.6611720031,246.489,Democrats,9.1,13.44,10.98,22.96,?,216.62,-5.68,10.769,10.505,804,17.597,3.665,15.28,macro_economic.xlsx
2011 - May,15472.3912891333,14990.9638155792,248.073,Democrats,9.0,12.89,11.37,23.06,?,165.52,-23.59,10.769,10.497,805,17.6,3.76,15.02,macro_economic.xlsx
2011 - Jun,15422.3818472482,14927.332731337,248.505,Democrats,9.1,12.89,11.37,22.81,221,160.65,-2.94,12.313,9.95,787,16.323,3.77,12.4,macro_economic.xlsx
2011 - Jul,15547.8544517524,15011.7614106743,249.164,Democrats,9.0,12.89,11.37,22.94,?,149.25,-7.1,13.436,9.314,785,15.225,3.77,11.325,macro_economic.xlsx
2011 - Aug,15649.0381355786,15085.2292553138,250.058,Democrats,9.0,12.28,10.8,22.85,?,114.1,-23.55,13.436,9.379,809,15.817,3.77,11.65,macro_economic.xlsx
2011 - Sep,15564.482412702,14966.8228660961,250.559,Democrats,9.0,12.28,10.8,23.05,?,116.65,2.23,14.431,9.562,794,15.819,3.775,11.325,macro_economic.xlsx
2011 - Oct,15840.3854064224,15249.7634842258,250.051,Democrats,8.8,12.28,10.8,23.3,?,110.61,-5.18,14.431,9.562,797,15.871,3.775,10.825,macro_economic.xlsx
2011 - Nov,15775.0060676968,15172.6925598969,249.317,Democrats,8.6,12.36,10.36,23.15,?,104.68,-5.36,14.431,9.562,781,15.563,3.775,10.625,macro_economic.xlsx
2011 - Dec,15740.5445259163,15148.8221953324,248.307,Democrats,8.5,12.36,10.36,23.22,?,95.45,-8.82,14.431,9.562,757,15.09,3.575,10.65,macro_economic.xlsx
2012 - Jan,15864.5023386066,15226.2046784787,249.322,Democrats,8.3,12.36,10.36,23.56,?,101.11,5.93,14.426,9.444,754,14.828,3.575,10.35,macro_economic.xlsx
2012 - Feb,16073.5753898301,15385.8470175993,250.285,Democrats,8.3,12.34,10.89,23.4,?,100.75,-0.36,14.426,9.444,754,14.828,3.475,10.35,macro_economic.xlsx
2012 - Mar,15983.5652716362,15261.3405819789,251.887,Democrats,8.2,12.34,10.89,23.39,?,99.5,-1.24,14.426,9.444,754,14.828,3.375,10.35,macro_economic.xlsx
2012 - Apr,16091.2281000548,15340.6535798089,252.349,Democrats,8.2,12.34,10.89,23.61,?,100.1,0.6,14.428,9.156,772,14.722,3.373,10.75,macro_economic.xlsx
2012 - May,16121.9589634314,15354.6505826443,252.652,Democrats,8.2,12.06,10.94,23.32,?,88.53,-11.56,14.428,9.156,772,14.722,3.373,10.75,macro_economic.xlsx
2012 - Jun,16152.3659365104,15392.2492751784,252.406,Democrats,8.2,12.06,10.94,23.27,208,82.18,-7.17,12.885,10.234,764,16.28,3.47,11.1,macro_economic.xlsx
2012 - Jul,16239.4201032127,15433.3698674452,252.016,Democrats,8.2,12.06,10.94,23.48,?,83.97,2.18,12.4,10.167,773,16.365,3.375,11.4,macro_economic.xlsx
2012 - Aug,16161.1181717827,15317.4241933126,253.472,Democrats,8.1,11.95,10.37,23.26,201,84.4,0.51,12.4,10.577,771,16.988,3.375,11.375,macro_economic.xlsx
2012 - Sep,16283.2787249827,15391.8773100951,254.554,Democrats,7.8,11.95,10.37,23.67,?,84.15,-0.3,12.121,10.206,774,16.452,3.375,11.075,macro_economic.xlsx
2012 - Oct,16208.3147572587,15292.3498602317,254.277,Democrats,7.8,11.95,10.37,23.52,?,81.95,-2.61,12.121,10.206,782,16.63,3.375,10.875,macro_economic.xlsx
2012 - Nov,16272.7062267461,15362.0978554107,254.285,Democrats,7.7,11.88,10.64,23.58,?,80.87,-1.32,12.121,10.206,790,16.79,3.375,10.875,macro_economic.xlsx
2012 - Dec,16411.0260159063,15498.6520671036,253.555,Democrats,7.9,11.88,10.64,23.85,?,83.37,3.09,12.121,10.206,781,16.6,3.375,11.075,macro_economic.xlsx
2013 - Jan,16503.9156844168,15554.4268779799,254.807,Democrats,8.0,11.88,10.64,23.88,?,85.51,2.57,12.077,9.19,849,16.25,3.38,11.475,macro_economic.xlsx
2013 - Feb,16433.8827194721,15435.6751031323,256.234,Democrats,7.7,11.94,10.12,23.9,?,89.71,4.91,12.077,9.19,849,16.25,3.38,11.75,macro_economic.xlsx
2013 - Mar,16488.5215961697,15485.7382618001,256.589,Democrats,7.5,11.94,10.12,23.84,?,94.45,5.28,12.077,9.19,849,16.25,3.38,12.0,macro_economic.xlsx
